column,data_type,unique_values
zpid,int64,810
palsId,object,810
id,int64,810
rawHomeStatusCd,object,1
marketingStatusSimplifiedCd,object,6
imgSrc,object,809
hasImage,bool,1
detailUrl,object,810
statusType,object,1
statusText,object,11
countryCurrency,object,1
price,object,436
unformattedPrice,int64,436
address,object,810
addressStreet,object,810
addressCity,object,7
addressState,object,1
addressZipcode,int64,59
isUndisclosedAddress,bool,1
shouldShowRequestOnPrice,bool,1
beds,float64,11
baths,float64,13
area,int64,697
latLong,object,802
isZillowOwned,bool,1
flexFieldText,object,434
contentType,object,9
hdpData,object,810
isUserClaimingOwner,bool,1
isUserConfirmedClaim,bool,1
pgapt,object,1
sgapt,object,6
zestimate,float64,553
shouldShowZestimateAsPrice,bool,1
has3DModel,bool,2
hasVideo,bool,1
isHomeRec,bool,1
hasAdditionalAttributions,bool,2
isFeaturedListing,bool,1
isShowcaseListing,bool,2
list,bool,1
relaxed,bool,1
info3String,object,4
info6String,object,585
brokerName,object,235
carouselPhotosComposable,object,809
isPaidBuilderNewConstruction,bool,2
builderName,object,17
providerListingId,object,12
hasOpenHouse,object,1
openHouseStartDate,object,12
openHouseEndDate,object,11
openHouseDescription,object,14
lotAreaString,float64,0
availabilityDate,float64,0
daysOnZillow,float64,178
homeType,object,5
taxAssessedValue,float64,703
lotAreaValue,float64,363
lotAreaUnit,object,2
priceChange,float64,116
timeOnZillow,float64,804
lotAreaSqFt,float64,363
pricePerSqFt,float64,807
hasPriceChange,int64,2
logPrice,float64,436
