field,status,missing_count,missing_percentage,coverage_percentage
zpid,Present,0,0.0,100.0
addressZipcode,Present,0,0.0,100.0
beds,Present,0,0.0,100.0
baths,Present,0,0.0,100.0
area,Present,0,0.0,100.0
unformattedPrice,Present,0,0.0,100.0
price,Present,0,0.0,100.0
zestimate,Present,234,28.89,71.11
taxAssessedValue,Present,68,8.4,91.6
lotAreaValue,Present,18,2.22,97.78
lotAreaSqFt,Present,18,2.22,97.78
pricePerSqFt,Present,0,0.0,100.0
logPrice,Present,0,0.0,100.0
daysOnZillow,Present,2,0.25,99.75
homeType,Present,0,0.0,100.0
priceChange,Present,464,57.28,42.72
hasPriceChange,Present,0,0.0,100.0
