homeType,listing_count,field,missing_count,missing_percentage
CONDO,13,zestimate,4,30.77
CONDO,13,taxAssessedValue,4,30.77
CONDO,13,lotAreaSqFt,13,100.0
CONDO,13,daysOnZillow,0,0.0
MANUFACTURED,4,zestimate,4,100.0
MANUFACTURED,4,taxAssessedValue,3,75.0
MANUFACTURED,4,lotAreaSqFt,3,75.0
MANUFACTURED,4,daysOnZillow,0,0.0
MULTI_FAMILY,22,zestimate,10,45.45
MULTI_FAMILY,22,taxAssessedValue,3,13.64
MULTI_FAMILY,22,lotAreaSqFt,0,0.0
MULTI_FAMILY,22,daysOnZillow,0,0.0
SINGLE_FAMILY,761,zestimate,211,27.73
SINGLE_FAMILY,761,taxAssessedValue,56,7.36
SINGLE_FAMILY,761,lotAreaSqFt,2,0.26
SINGLE_FAMILY,761,daysOnZillow,2,0.26
TOWNHOUSE,10,zestimate,5,50.0
TOWNHOUSE,10,taxAssessedValue,2,20.0
TOWNHOUSE,10,lotAreaSqFt,0,0.0
TOWNHOUSE,10,daysOnZillow,0,0.0
