column,data_type,missing_count,missing_percentage,non_missing_count,completeness_percentage
availabilityDate,float64,810,100.0,0,0.0
lotAreaString,float64,810,100.0,0,0.0
providerListingId,object,798,98.52,12,1.48
builderName,object,785,96.91,25,3.09
hasOpenHouse,object,781,96.42,29,3.58
openHouseDescription,object,781,96.42,29,3.58
openHouseEndDate,object,781,96.42,29,3.58
openHouseStartDate,object,781,96.42,29,3.58
priceChange,float64,464,57.28,346,42.72
zestimate,float64,234,28.89,576,71.11
taxAssessedValue,float64,68,8.4,742,91.6
info6String,object,40,4.94,770,95.06
info3String,object,30,3.7,780,96.3
lotAreaSqFt,float64,18,2.22,792,97.78
lotAreaUnit,object,18,2.22,792,97.78
lotAreaValue,float64,18,2.22,792,97.78
brokerName,object,15,1.85,795,98.15
daysOnZillow,float64,2,0.25,808,99.75
timeOnZillow,float64,2,0.25,808,99.75
address,object,0,0.0,810,100.0
addressCity,object,0,0.0,810,100.0
addressState,object,0,0.0,810,100.0
addressStreet,object,0,0.0,810,100.0
addressZipcode,int64,0,0.0,810,100.0
area,int64,0,0.0,810,100.0
baths,float64,0,0.0,810,100.0
beds,float64,0,0.0,810,100.0
carouselPhotosComposable,object,0,0.0,810,100.0
contentType,object,0,0.0,810,100.0
countryCurrency,object,0,0.0,810,100.0
detailUrl,object,0,0.0,810,100.0
flexFieldText,object,0,0.0,810,100.0
has3DModel,bool,0,0.0,810,100.0
hasAdditionalAttributions,bool,0,0.0,810,100.0
hasImage,bool,0,0.0,810,100.0
hasPriceChange,int64,0,0.0,810,100.0
hasVideo,bool,0,0.0,810,100.0
hdpData,object,0,0.0,810,100.0
homeType,object,0,0.0,810,100.0
id,int64,0,0.0,810,100.0
imgSrc,object,0,0.0,810,100.0
isFeaturedListing,bool,0,0.0,810,100.0
isHomeRec,bool,0,0.0,810,100.0
isPaidBuilderNewConstruction,bool,0,0.0,810,100.0
isShowcaseListing,bool,0,0.0,810,100.0
isUndisclosedAddress,bool,0,0.0,810,100.0
isUserClaimingOwner,bool,0,0.0,810,100.0
isUserConfirmedClaim,bool,0,0.0,810,100.0
isZillowOwned,bool,0,0.0,810,100.0
latLong,object,0,0.0,810,100.0
list,bool,0,0.0,810,100.0
logPrice,float64,0,0.0,810,100.0
marketingStatusSimplifiedCd,object,0,0.0,810,100.0
palsId,object,0,0.0,810,100.0
pgapt,object,0,0.0,810,100.0
price,object,0,0.0,810,100.0
pricePerSqFt,float64,0,0.0,810,100.0
rawHomeStatusCd,object,0,0.0,810,100.0
relaxed,bool,0,0.0,810,100.0
sgapt,object,0,0.0,810,100.0
shouldShowRequestOnPrice,bool,0,0.0,810,100.0
shouldShowZestimateAsPrice,bool,0,0.0,810,100.0
statusText,object,0,0.0,810,100.0
statusType,object,0,0.0,810,100.0
unformattedPrice,int64,0,0.0,810,100.0
zpid,int64,0,0.0,810,100.0
