,price,logPrice,area,beds,baths,lotAreaSqFt,taxAssessedValue,daysOnZillow,pricePerSqFt,zestimate
price,1.0,0.7350591902294366,0.8698231682921045,0.36947182983302035,0.6984493214419434,0.3611745798126593,0.9375666335631933,0.08171134727016756,0.6509161279558113,0.9986230768468712
logPrice,0.7350591902294366,1.0,0.7188701079590414,0.45028417145692834,0.6831492145148248,0.3604802610593326,0.7360745204146932,0.03408152015077734,0.7570606887241995,0.7609378391130632
area,0.8698231682921045,0.7188701079590414,1.0,0.5625602861179615,0.8128002521383879,0.3119916434762576,0.8445229068634549,0.11048071690648663,0.3533489172303118,0.8796705894239978
beds,0.36947182983302035,0.45028417145692834,0.5625602861179615,1.0,0.6955935988522833,0.21487833510230794,0.3500294334985844,0.08961422921258173,0.04657684538709226,0.3772807224744737
baths,0.6984493214419434,0.6831492145148248,0.8128002521383879,0.6955935988522833,1.0,0.3111580859629829,0.674974286446239,0.13897857126034238,0.3318119467233919,0.699400618028336
lotAreaSqFt,0.3611745798126593,0.3604802610593326,0.3119916434762576,0.21487833510230794,0.3111580859629829,1.0,0.31731147040953084,0.09339363426586361,0.33273222669612107,0.27620972971144164
taxAssessedValue,0.9375666335631933,0.7360745204146932,0.8445229068634549,0.3500294334985844,0.674974286446239,0.31731147040953084,1.0,0.07951972045993053,0.5727166146769748,0.9559946983974745
daysOnZillow,0.08171134727016756,0.03408152015077734,0.11048071690648663,0.08961422921258173,0.13897857126034238,0.09339363426586361,0.07951972045993053,1.0,-0.012618972529233595,0.11866537540489147
pricePerSqFt,0.6509161279558113,0.7570606887241995,0.3533489172303118,0.04657684538709226,0.3318119467233919,0.33273222669612107,0.5727166146769748,-0.012618972529233595,1.0,0.6422936370379931
zestimate,0.9986230768468712,0.7609378391130632,0.8796705894239978,0.3772807224744737,0.699400618028336,0.27620972971144164,0.9559946983974745,0.11866537540489147,0.6422936370379931,1.0
