,price,logPrice,area,beds,baths,lotAreaSqFt,taxAssessedValue,daysOnZillow,pricePerSqFt,zestimate
price,1.0,1.0,0.7812939309786872,0.44963626141724156,0.6141696589265857,0.492809911468982,0.8969689777095443,0.008422371495155224,0.6955816663745832,0.9948104145854695
logPrice,1.0,1.0,0.7812939309786872,0.44963626141724156,0.6141696589265857,0.492809911468982,0.8969689777095443,0.008422371495155224,0.6955816663745832,0.9948104145854695
area,0.7812939309786872,0.7812939309786872,1.0,0.7008783658276904,0.7861110325369686,0.43917528278899565,0.8158463849017152,0.05999338928718254,0.15828033038293474,0.7965689928239896
beds,0.44963626141724156,0.44963626141724156,0.7008783658276904,1.0,0.6297991589644908,0.30732725276033945,0.453716529363192,0.09739530730073699,-0.039741578090819046,0.47202839705290867
baths,0.6141696589265857,0.6141696589265857,0.7861110325369686,0.6297991589644908,1.0,0.2322153488373059,0.6198828596020426,0.12039178134853303,0.14455159185463742,0.6120862686529946
lotAreaSqFt,0.492809911468982,0.492809911468982,0.43917528278899565,0.30732725276033945,0.2322153488373059,1.0,0.46314416088305727,0.016234928964178646,0.34239547545162524,0.5041039618889239
taxAssessedValue,0.8969689777095443,0.8969689777095443,0.8158463849017152,0.453716529363192,0.6198828596020426,0.46314416088305727,1.0,0.044010474603095144,0.4980670180220445,0.9123749030440197
daysOnZillow,0.008422371495155224,0.008422371495155224,0.05999338928718254,0.09739530730073699,0.12039178134853303,0.016234928964178646,0.044010474603095144,1.0,-0.049213781048299515,0.046350829748617275
pricePerSqFt,0.6955816663745832,0.6955816663745832,0.15828033038293474,-0.039741578090819046,0.14455159185463742,0.34239547545162524,0.4980670180220445,-0.049213781048299515,1.0,0.6393460104787801
zestimate,0.9948104145854695,0.9948104145854695,0.7965689928239896,0.47202839705290867,0.6120862686529946,0.5041039618889239,0.9123749030440197,0.046350829748617275,0.6393460104787801,1.0
