variable_1,variable_2,pearson_correlation,absolute_correlation
price,zestimate,0.9986230768468712,0.9986230768468712
taxAssessedValue,zestimate,0.9559946983974745,0.9559946983974745
price,taxAssessedValue,0.9375666335631933,0.9375666335631933
area,zestimate,0.8796705894239978,0.8796705894239978
price,area,0.8698231682921045,0.8698231682921045
area,taxAssessedValue,0.8445229068634549,0.8445229068634549
area,baths,0.8128002521383879,0.8128002521383879
logPrice,zestimate,0.7609378391130632,0.7609378391130632
logPrice,pricePerSqFt,0.7570606887241995,0.7570606887241995
logPrice,taxAssessedValue,0.7360745204146932,0.7360745204146932
price,logPrice,0.7350591902294366,0.7350591902294366
logPrice,area,0.7188701079590414,0.7188701079590414
baths,zestimate,0.699400618028336,0.699400618028336
price,baths,0.6984493214419434,0.6984493214419434
beds,baths,0.6955935988522833,0.6955935988522833
logPrice,baths,0.6831492145148248,0.6831492145148248
baths,taxAssessedValue,0.674974286446239,0.674974286446239
price,pricePerSqFt,0.6509161279558113,0.6509161279558113
pricePerSqFt,zestimate,0.6422936370379931,0.6422936370379931
taxAssessedValue,pricePerSqFt,0.5727166146769748,0.5727166146769748
area,beds,0.5625602861179615,0.5625602861179615
logPrice,beds,0.45028417145692834,0.45028417145692834
beds,zestimate,0.3772807224744737,0.3772807224744737
price,beds,0.36947182983302035,0.36947182983302035
price,lotAreaSqFt,0.3611745798126593,0.3611745798126593
logPrice,lotAreaSqFt,0.3604802610593326,0.3604802610593326
area,pricePerSqFt,0.3533489172303118,0.3533489172303118
beds,taxAssessedValue,0.3500294334985844,0.3500294334985844
lotAreaSqFt,pricePerSqFt,0.33273222669612107,0.33273222669612107
baths,pricePerSqFt,0.3318119467233919,0.3318119467233919
lotAreaSqFt,taxAssessedValue,0.31731147040953084,0.31731147040953084
area,lotAreaSqFt,0.3119916434762576,0.3119916434762576
baths,lotAreaSqFt,0.3111580859629829,0.3111580859629829
lotAreaSqFt,zestimate,0.27620972971144164,0.27620972971144164
beds,lotAreaSqFt,0.21487833510230794,0.21487833510230794
baths,daysOnZillow,0.13897857126034238,0.13897857126034238
daysOnZillow,zestimate,0.11866537540489147,0.11866537540489147
area,daysOnZillow,0.11048071690648663,0.11048071690648663
lotAreaSqFt,daysOnZillow,0.09339363426586361,0.09339363426586361
beds,daysOnZillow,0.08961422921258173,0.08961422921258173
price,daysOnZillow,0.08171134727016756,0.08171134727016756
taxAssessedValue,daysOnZillow,0.07951972045993053,0.07951972045993053
beds,pricePerSqFt,0.04657684538709226,0.04657684538709226
logPrice,daysOnZillow,0.03408152015077734,0.03408152015077734
daysOnZillow,pricePerSqFt,-0.012618972529233595,0.012618972529233595
