variable,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,missing,missing_percentage
price,810.0,418156.3864197531,546336.0897524211,19500.0,60077.4,122500.0,219000.0,309950.0,434997.5,899000.0,2290549.9999999967,8250000.0,0,0.0
logPrice,810.0,12.675379231092446,0.6539099149330097,9.87816974455184,11.003380683606443,11.715866308966918,12.29682700879864,12.644166260118585,12.983095562878326,13.709038313453757,14.64421424402266,15.925723758310864,0,0.0
area,810.0,2251.0765432098765,1423.2176732432024,696.0,870.72,1066.9,1526.25,1999.5,2647.25,4051.3999999999996,6448.7199999999875,27417.0,0,0.0
beds,810.0,3.6382716049382715,1.0232244896894638,1.0,2.0,2.0,3.0,3.0,4.0,5.0,6.0,12.0,0,0.0
baths,810.0,2.7648148148148146,1.2028228141141772,1.0,1.0,2.0,2.0,3.0,3.0,5.0,7.0,13.0,0,0.0
lotAreaSqFt,792.0,13807.654171717171,30288.746590132025,0.0,2478.9996,4312.44,6272.64,7884.36,10715.76,34819.68599999987,146058.85800000007,531867.6000000001,18,2.2222222222222223
taxAssessedValue,742.0,388241.6010781671,365562.55008626566,37890.0,95471.5,149196.0,237667.5,312045.0,438605.0,748935.4999999998,1513701.3000000024,5500000.0,68,8.395061728395062
daysOnZillow,808.0,51.3279702970297,79.88960853118218,0.0,0.0,0.0,4.0,23.0,74.0,172.64999999999998,329.64999999999975,1241.0,2,0.24691358024691357
pricePerSqFt,810.0,170.11842274319778,70.09513894291266,15.756302521008404,45.927099848386405,82.30789007092199,128.72800822549488,160.38001295378047,197.38957151847012,289.0313682705538,417.8219742117238,742.133386107263,0,0.0
zestimate,576.0,431383.3333333333,540638.1959193746,17900.0,117675.0,157600.0,234950.0,315800.0,448925.0,891925.0,2357300.0,7313900.0,234,28.888888888888886
zestimate_gap,576.0,-11799.607638888889,54938.32888719029,-936100.0,-93100.0,-33050.0,-11100.0,-5300.0,-2900.0,-500.0,73075.25,164060.0,234,28.888888888888886
zestimate_gap_pct,576.0,-0.00989746418186256,0.11997382696589252,-0.4541353383458646,-0.11548461538461532,-0.0472938940365882,-0.0272924679487179,-0.016984612694527,-0.010495430360376725,-0.00213985278654045,0.2427052200787936,1.6933333333333334,234,28.888888888888886
