metric,value
Total Listings,810.0
Unique Properties,810.0
Mean Listing Price,418156.3864197531
Median Listing Price,309950.0
Minimum Listing Price,19500.0
Maximum Listing Price,8250000.0
Mean Living Area,2251.0765432098765
Median Living Area,1999.5
Mean Price Per Sq Ft,170.11842274319778
Median Price Per Sq Ft,160.38001295378047
Mean Days on Zillow,51.3279702970297
Median Days on Zillow,23.0
Mean Bedrooms,3.6382716049382715
Median Bedrooms,3.0
Mean Bathrooms,2.7648148148148146
Median Bathrooms,3.0
Zestimate Coverage,0.7111111111111111
Tax Assessed Value Coverage,0.9160493827160494
