zipcode,homeType,listing_count,zip_total_listings,percentage_of_zip
78006,SINGLE_FAMILY,2,2,100.0
78023,SINGLE_FAMILY,8,8,100.0
78073,SINGLE_FAMILY,2,3,66.66666666666666
78073,MANUFACTURED,1,3,33.33333333333333
78201,SINGLE_FAMILY,20,21,95.23809523809523
78201,MULTI_FAMILY,1,21,4.761904761904762
78202,SINGLE_FAMILY,3,5,60.0
78202,MULTI_FAMILY,2,5,40.0
78203,SINGLE_FAMILY,2,2,100.0
78204,SINGLE_FAMILY,3,4,75.0
78204,CONDO,1,4,25.0
78205,CONDO,1,1,100.0
78207,SINGLE_FAMILY,6,8,75.0
78207,MULTI_FAMILY,2,8,25.0
78208,SINGLE_FAMILY,2,2,100.0
78209,SINGLE_FAMILY,15,20,75.0
78209,CONDO,3,20,15.0
78209,MULTI_FAMILY,1,20,5.0
78209,TOWNHOUSE,1,20,5.0
78210,SINGLE_FAMILY,12,13,92.3076923076923
78210,MULTI_FAMILY,1,13,7.6923076923076925
78211,SINGLE_FAMILY,4,4,100.0
78212,SINGLE_FAMILY,24,28,85.71428571428571
78212,MULTI_FAMILY,3,28,10.714285714285714
78212,TOWNHOUSE,1,28,3.571428571428571
78213,SINGLE_FAMILY,11,12,91.66666666666666
78213,TOWNHOUSE,1,12,8.333333333333332
78214,CONDO,1,1,100.0
78216,SINGLE_FAMILY,27,27,100.0
78217,SINGLE_FAMILY,10,10,100.0
78218,SINGLE_FAMILY,6,7,85.71428571428571
78218,CONDO,1,7,14.285714285714285
78219,SINGLE_FAMILY,1,1,100.0
78220,SINGLE_FAMILY,3,3,100.0
78221,SINGLE_FAMILY,11,11,100.0
78222,SINGLE_FAMILY,7,7,100.0
78223,SINGLE_FAMILY,11,13,84.61538461538461
78223,MANUFACTURED,1,13,7.6923076923076925
78223,MULTI_FAMILY,1,13,7.6923076923076925
78224,SINGLE_FAMILY,4,4,100.0
78225,SINGLE_FAMILY,1,1,100.0
78226,SINGLE_FAMILY,1,1,100.0
78227,SINGLE_FAMILY,10,10,100.0
78228,SINGLE_FAMILY,16,17,94.11764705882352
78228,MULTI_FAMILY,1,17,5.88235294117647
78229,SINGLE_FAMILY,6,8,75.0
78229,CONDO,1,8,12.5
78229,TOWNHOUSE,1,8,12.5
78230,SINGLE_FAMILY,33,33,100.0
78231,SINGLE_FAMILY,9,9,100.0
78232,SINGLE_FAMILY,20,22,90.9090909090909
78232,TOWNHOUSE,2,22,9.090909090909092
78233,SINGLE_FAMILY,16,17,94.11764705882352
78233,MULTI_FAMILY,1,17,5.88235294117647
78237,SINGLE_FAMILY,6,6,100.0
78238,SINGLE_FAMILY,4,4,100.0
78239,SINGLE_FAMILY,12,14,85.71428571428571
78239,MULTI_FAMILY,1,14,7.142857142857142
78239,TOWNHOUSE,1,14,7.142857142857142
78240,SINGLE_FAMILY,16,18,88.88888888888889
78240,CONDO,1,18,5.555555555555555
78240,TOWNHOUSE,1,18,5.555555555555555
78242,SINGLE_FAMILY,7,7,100.0
78244,SINGLE_FAMILY,17,19,89.47368421052632
78244,MULTI_FAMILY,2,19,10.526315789473683
78245,SINGLE_FAMILY,48,49,97.95918367346938
78245,MULTI_FAMILY,1,49,2.0408163265306123
78247,SINGLE_FAMILY,30,32,93.75
78247,CONDO,2,32,6.25
78248,SINGLE_FAMILY,18,19,94.73684210526315
78248,CONDO,1,19,5.263157894736842
78249,SINGLE_FAMILY,26,27,96.29629629629629
78249,TOWNHOUSE,1,27,3.7037037037037033
78250,SINGLE_FAMILY,29,31,93.54838709677419
78250,CONDO,1,31,3.225806451612903
78250,MULTI_FAMILY,1,31,3.225806451612903
78251,SINGLE_FAMILY,16,16,100.0
78252,SINGLE_FAMILY,8,8,100.0
78253,SINGLE_FAMILY,42,48,87.5
78253,MULTI_FAMILY,4,48,8.333333333333332
78253,MANUFACTURED,2,48,4.166666666666666
78254,SINGLE_FAMILY,39,39,100.0
78255,SINGLE_FAMILY,23,23,100.0
78256,SINGLE_FAMILY,5,5,100.0
78257,SINGLE_FAMILY,11,11,100.0
78258,SINGLE_FAMILY,37,38,97.36842105263158
78258,TOWNHOUSE,1,38,2.631578947368421
78259,SINGLE_FAMILY,17,17,100.0
78260,SINGLE_FAMILY,22,22,100.0
78261,SINGLE_FAMILY,14,14,100.0
78263,SINGLE_FAMILY,3,3,100.0
78264,SINGLE_FAMILY,3,3,100.0
78266,SINGLE_FAMILY,2,2,100.0
