zpid,address,addressCity,addressState,addressZipcode,homeType,beds,baths,area,price,pricePerSqFt,lotAreaSqFt,taxAssessedValue,daysOnZillow,zestimate,logPrice
26129995,"325 CEDAR ST, San Antonio, TX 78210",San Antonio,TX,78210,SINGLE_FAMILY,2.0,1.0,1057,379900.0,359.4134342478713,5009.4,409090.0,67.0,,12.847663339175718
26350732,"155 ROCK VALLEY DR, San Antonio, TX 78227",San Antonio,TX,78227,SINGLE_FAMILY,4.0,1.0,1104,159900.0,144.83695652173913,9583.2,136000.0,4.0,159600.0,11.982303898822046
26217295,"1406 HICKS AVE, San Antonio, TX 78210",San Antonio,TX,78210,SINGLE_FAMILY,3.0,1.0,1377,189000.0,137.2549019607843,6490.44,200810.0,0.0,,12.14950229404178
26259576,"771 LINDA LOU DR, San Antonio, TX 78223",San Antonio,TX,78223,SINGLE_FAMILY,3.0,1.0,1132,129900.0,114.75265017667844,7492.32,110470.0,0.0,117300.0,11.77452020265869
26241872,"2135 W Wildwood Dr, San Antonio, TX 78201",San Antonio,TX,78201,SINGLE_FAMILY,3.0,1.0,1749,135000.0,77.18696397941682,6969.6,168880.0,0.0,126300.0,11.813030057420567
26195595,"7297 Signature Street, San Antonio, TX 78263",San Antonio,TX,78263,SINGLE_FAMILY,3.0,1.0,1180,90000.0,76.27118644067797,18077.4,171390.0,5.0,,11.407564949312402
26245051,"410 N Meadowlane Dr, San Antonio, TX 78209",San Antonio,TX,78209,SINGLE_FAMILY,3.0,1.0,1237,375000.0,303.15278900565886,8145.72,351450.0,10.0,363100.0,12.834681304952548
26422502,"7602 Echo Glade, San Antonio, TX 78249",San Antonio,TX,78249,SINGLE_FAMILY,2.0,1.0,1097,204990.0,186.86417502278945,6141.96,216470.0,74.0,200900.0,12.230716476442934
26283495,"1206 W VILLARET BLVD, San Antonio, TX 78224",San Antonio,TX,78224,SINGLE_FAMILY,3.0,1.0,1562,205000.0,131.24199743918055,15202.44,165110.0,3.0,204500.0,12.230765258120543
26373607,"5423 Indian Desert, San Antonio, TX 78242",San Antonio,TX,78242,SINGLE_FAMILY,3.0,1.0,896,104900.0,117.07589285714286,5009.4,140565.0,132.0,,11.560762794384388
