zpid,address,addressCity,addressState,addressZipcode,homeType,beds,baths,area,price,pricePerSqFt,lotAreaSqFt,taxAssessedValue,daysOnZillow,zestimate,logPrice
26114145,"726 ARTHUR ST, San Antonio, TX 78202",San Antonio,TX,78202,MULTI_FAMILY,12.0,9.0,4491,649900.0,144.71164551324873,3963.96,292730.0,45.0,647200.0,13.38457378388244
26121790,"802 Kentucky Ave, San Antonio, TX 78201",San Antonio,TX,78201,SINGLE_FAMILY,11.0,8.0,7992,650000.0,81.33133133133133,19602.0,470000.0,206.0,,13.38472764187182
26291292,"7735 Mocking Bird Lane, San Antonio, TX 78229",San antonio,TX,78229,SINGLE_FAMILY,10.0,9.0,5500,2300000.0,418.1818181818182,337154.4,710370.0,454.0,,14.648419680899378
26178913,"7519 Windsor Oaks, San Antonio, TX 78239",San Antonio,TX,78239,MULTI_FAMILY,10.0,6.0,4442,460000.0,103.55695632597929,8755.56,340000.0,28.0,,13.038981768465275
464784728,"15507 BANKS CV, San Antonio, TX 78253",San Antonio,TX,78253,MULTI_FAMILY,8.0,6.0,3352,552000.0,164.6778042959427,9578.844,,0.0,,13.221303325259232
116222587,"7 Via Aragon, San Antonio, TX 78257",San Antonio,TX,78257,SINGLE_FAMILY,7.0,12.0,8842,3950000.0,446.731508708437,43560.0,,23.0,,15.189226136877304
26223951,"3100 Vera Cruz, San Antonio, TX 78207",San Antonio,TX,78207,MULTI_FAMILY,7.0,5.0,2967,222000.0,74.82305358948433,10410.84,201070.0,2.0,,12.310432660854415
26477125,"2 Admirals Way, San Antonio, TX 78257",San Antonio,TX,78257,SINGLE_FAMILY,7.0,10.0,11932,4595000.0,385.0988937311432,86684.4,4000000.0,234.0,4118700.0,15.340479313771924
339855057,"10310 Lynwood Village, San Antonio, TX 78245",San Antonio,TX,78245,MULTI_FAMILY,6.0,6.0,2712,470000.0,173.30383480825958,4660.92,475480.0,0.0,464800.0,13.06048797368624
60080772,"14 Duxbury Park, San Antonio, TX 78257",San Antonio,TX,78257,SINGLE_FAMILY,6.0,13.0,27417,8250000.0,300.9081956450377,82764.0,4650000.0,224.0,7313900.0,15.925723758310864
