zpid,address,addressCity,addressState,addressZipcode,homeType,beds,baths,area,price,pricePerSqFt,lotAreaSqFt,taxAssessedValue,daysOnZillow,zestimate,logPrice
122498452,"1106 E QUINCY ST, San Antonio, TX 78212",San Antonio,TX,78212,TOWNHOUSE,1.0,1.0,912,355000.0,389.2543859649123,696.96,333870.0,20.0,,12.779873068457553
333544442,"610 E MARKET ST #2803, San Antonio, TX 78205",San Antonio,TX,78205,CONDO,1.0,1.0,1120,449900.0,401.69642857142856,,445000.0,0.0,435000.0,13.016780614829264
447458421,"7711 Broadway #32C, San Antonio, TX 78209",San Antonio,TX,78209,CONDO,2.0,2.0,1131,275000.0,243.1476569407604,,,4.0,,12.524526376648708
2082629992,"1 TOWERS PARK LN #1202, San Antonio, TX 78209",San Antonio,TX,78209,CONDO,2.0,2.0,1034,45000.0,43.520309477756285,,,82.0,,10.714417768752456
122500420,"4610 Camden Hts, San Antonio, TX 78261",San Antonio,TX,78261,SINGLE_FAMILY,2.0,3.0,2229,535000.0,240.01794526693584,0.0,503020.0,3.0,523700.0,13.190022025878145
26225650,"618 Santa Monica, San Antonio, TX 78212",San Antonio,TX,78212,SINGLE_FAMILY,2.0,1.0,1100,169000.0,153.63636363636363,7797.24,149190.0,3.0,168000.0,12.037653993905211
26428364,"5911 Misty Glen, San Antonio, TX 78247",San Antonio,TX,78247,SINGLE_FAMILY,2.0,1.0,878,159999.0,182.23120728929385,7492.32,182720.0,10.0,157500.0,11.982922844196432
116182473,"4239 Warm Winds, San Antonio, TX 78253",San Antonio,TX,78253,SINGLE_FAMILY,2.0,2.0,1703,359000.0,210.80446271285965,6316.2,372650.0,10.0,351900.0,12.791077667470416
26124774,"2419 W HOUSTON ST, San Antonio, TX 78207",San Antonio,TX,78207,SINGLE_FAMILY,2.0,1.0,1148,100000.0,87.10801393728222,6272.64,146230.0,0.0,86900.0,11.512925464970229
26213994,"411 canton, San Antonio, TX 78202",San Antonio,TX,78202,MULTI_FAMILY,2.0,2.0,1311,220000.0,167.81083142639207,6272.64,200580.0,187.0,215700.0,12.301382825334498
