zpid,address,addressCity,addressState,addressZipcode,homeType,beds,baths,area,price,pricePerSqFt,lotAreaSqFt,taxAssessedValue,daysOnZillow,zestimate,logPrice
26119487,"941 W MYRTLE ST, San Antonio, TX 78212",San Antonio,TX,78212,SINGLE_FAMILY,3.0,2.0,1882,240000.0,127.52391073326248,4748.04,277810.0,1241.0,,12.388394202324127
69647077,"9402 EVERTON, San Antonio, TX 78245",San Antonio,TX,78245,SINGLE_FAMILY,3.0,3.0,2154,199000.0,92.38625812441968,5488.56,268210.0,654.0,,12.201060103706627
26291292,"7735 Mocking Bird Lane, San Antonio, TX 78229",San antonio,TX,78229,SINGLE_FAMILY,10.0,9.0,5500,2300000.0,418.1818181818182,337154.4,710370.0,454.0,,14.648419680899378
26467744,"9159 Autumn Storm, San Antonio, TX 78254",San Antonio,TX,78254,SINGLE_FAMILY,3.0,3.0,1688,175000.0,103.67298578199052,7579.44,237750.0,424.0,,12.072541252905651
69655602,"7439 Circle Farm, San Antonio, TX 78239",San Antonio,TX,78239,SINGLE_FAMILY,3.0,3.0,1914,150000.0,78.36990595611286,4573.8,233450.0,375.0,145500.0,11.918390573078392
26195821,"8138 old pearsall, San Antonio, TX 78252",San Antonio,TX,78252,SINGLE_FAMILY,4.0,3.0,2262,360000.0,159.15119363395226,21780.0,75750.0,374.0,,12.793859310432293
26117791,"115 E Courtland Place, San Antonio, TX 78212",San Antonio,TX,78212,SINGLE_FAMILY,3.0,3.0,1266,515000.0,406.79304897314375,8276.4,459000.0,342.0,503400.0,13.151922179645874
69666459,"22215 Sausalito Ct, San Antonio, TX 78258",San Antonio,TX,78258,TOWNHOUSE,2.0,3.0,1956,306900.0,156.90184049079755,4486.68,261000.0,339.0,303200.0,12.634277240607828
169428580,"3126 Mission Bell, San Antonio, TX 78224",San Antonio,TX,78224,SINGLE_FAMILY,4.0,3.0,2245,200000.0,89.08685968819599,5183.64,285510.0,330.0,198600.0,12.206072645530174
26215908,"141 hollywood, San Antonio, TX 78212",San Antonio,TX,78212,SINGLE_FAMILY,3.0,3.0,2932,649000.0,221.3506139154161,10497.96,657250.0,325.0,638200.0,13.383187995686226
