zpid,address,addressCity,addressState,addressZipcode,homeType,beds,baths,area,price,pricePerSqFt,lotAreaSqFt,taxAssessedValue,daysOnZillow,zestimate,logPrice
26272318,"64 Vaughan Pl, San Antonio, TX 78201",San Antonio,TX,78201,SINGLE_FAMILY,3.0,2.0,1736,298000.0,171.65898617511522,7405.2,237290.0,0.0,227700.0,12.604848765487542
122498931,"15311 Kellyfield Bay, San Antonio, TX 78253",San Antonio,TX,78253,SINGLE_FAMILY,3.0,2.0,1750,290000.0,165.71428571428572,6229.08,275580.0,0.0,286000.0,12.577636201962656
122497204,"18523 Wild Onion, San Antonio, TX 78258",San Antonio,TX,78258,SINGLE_FAMILY,5.0,4.0,3545,724000.0,204.23131170662904,7797.24,663480.0,0.0,706400.0,13.492546671367853
26452367,"8719 TIMBERWICK ST, San Antonio, TX 78250",San Antonio,TX,78250,SINGLE_FAMILY,3.0,3.0,1590,255000.0,160.37735849056602,8407.08,242630.0,0.0,248700.0,12.449018824140564
26410875,"13023 FEATHER RIDGE DR, San Antonio, TX 78233",San Antonio,TX,78233,SINGLE_FAMILY,3.0,2.0,1390,219000.0,157.5539568345324,6534.0,245000.0,0.0,212900.0,12.29682700879864
65089863,"24510 Brazos Stage, San Antonio, TX 78255",San Antonio,TX,78255,SINGLE_FAMILY,5.0,3.0,3574,434900.0,121.68438724118634,7143.84,448860.0,0.0,433000.0,12.98287139858573
26329312,"4006 BRETTON RDG, San Antonio, TX 78217",San Antonio,TX,78217,SINGLE_FAMILY,3.0,2.0,1126,159000.0,141.20781527531082,7361.64,184140.0,0.0,153800.0,11.976659481202368
89616816,"11342 Begonia Rock, San Antonio, TX 78245",San Antonio,TX,78245,SINGLE_FAMILY,4.0,3.0,2574,344900.0,133.993783993784,6882.48,359720.0,0.0,341600.0,12.751009798924931
26461878,"3207 Green Spg, San Antonio, TX 78247",San Antonio,TX,78247,SINGLE_FAMILY,3.0,3.0,2612,302000.0,115.62021439509954,6664.68,329720.0,0.0,,12.618182296357007
26247351,"423 N SAN IGNACIO AVE, San Antonio, TX 78228",San Antonio,TX,78228,SINGLE_FAMILY,3.0,1.0,1190,79900.0,67.14285714285714,5749.92,120645.0,0.0,,11.288531131754366
