zpid,address,addressCity,addressState,addressZipcode,homeType,beds,baths,area,price,pricePerSqFt,lotAreaSqFt,taxAssessedValue,daysOnZillow,zestimate,logPrice
2097899536,"1 Towers Park Ln #205, San Antonio, TX 78209",San Antonio,TX,78209,CONDO,2.0,2.0,870,19500.0,22.41379310344828,,,74.0,17900.0,9.87816974455184
456897578,"11555 Culebra Rd #199, San Antonio, TX 78253",San Antonio,TX,78253,MANUFACTURED,3.0,2.0,1904,30000.0,15.756302521008404,,,19.0,,10.308952660644293
464441281,"7151 Woodlake Pkwy Lot 27, San Antonio, TX 78218",San Antonio,TX,78218,CONDO,3.0,2.0,1526,35000.0,22.93577981651376,,,14.0,,10.46310334047155
26447884,"10111 Pebblestone, San Antonio, TX 78250",San Antonio,TX,78250,SINGLE_FAMILY,4.0,3.0,1176,38000.0,32.31292517006803,4486.68,224240.0,11.0,,10.545341438708522
26247294,"409 N San Gabriel Ave, San Antonio, TX 78228",San Antonio,TX,78228,SINGLE_FAMILY,2.0,1.0,796,45000.0,56.53266331658291,8624.0,113180.0,111.0,,10.714417768752456
2082629992,"1 TOWERS PARK LN #1202, San Antonio, TX 78209",San Antonio,TX,78209,CONDO,2.0,2.0,1034,45000.0,43.520309477756285,,,82.0,,10.714417768752456
2082893595,"3500 Goliad Rd Lot 415, San Antonio, TX 78223",San Antonio,TX,78223,MANUFACTURED,3.0,2.0,1215,55000.0,45.26748971193416,,,130.0,,10.915088464214609
461274340,"11555 Culebra Rd #79, San Antonio, TX 78253",San Antonio,TX,78253,MANUFACTURED,3.0,2.0,1368,59995.0,43.85599415204678,,,5.0,,11.002016504398489
464586681,"8450 DIXON RIDGE DR #80, San Antonio, TX 78239",San Antonio,TX,78239,TOWNHOUSE,2.0,1.0,800,60000.0,75.0,5793.48,,9.0,,11.002099841204238
26129543,"139 PAUL ST, San Antonio, TX 78203",San Antonio,TX,78203,SINGLE_FAMILY,2.0,1.0,696,60860.0,87.44252873563218,4660.92,159740.0,102.0,,11.016331423450962
