zpid,address,addressCity,addressState,addressZipcode,homeType,beds,baths,area,price,pricePerSqFt,lotAreaSqFt,taxAssessedValue,daysOnZillow,zestimate,logPrice
336775879,"21633 S Jett Rd, San Antonio, TX 78264",San Antonio,TX,78264,SINGLE_FAMILY,3.0,2.0,1720,374999.0,218.02267441860465,531867.6000000001,476550.0,104.0,370500.0,12.834678638282323
26291292,"7735 Mocking Bird Lane, San Antonio, TX 78229",San antonio,TX,78229,SINGLE_FAMILY,10.0,9.0,5500,2300000.0,418.1818181818182,337154.4,710370.0,454.0,,14.648419680899378
65066822,"22719 E Range, San Antonio, TX 78255",San Antonio,TX,78255,SINGLE_FAMILY,4.0,4.0,4835,1950000.0,403.3092037228542,254738.88,734760.0,53.0,,14.48333993053993
102518202,"1418 Greystone, San Antonio, TX 78258",San Antonio,TX,78258,SINGLE_FAMILY,6.0,9.0,7788,3299000.0,423.6004108885465,210961.08,2196000.0,176.0,,15.00912995021072
26149573,"25375 US Highway 281 S, San Antonio, TX 78264",San Antonio,TX,78264,SINGLE_FAMILY,3.0,2.0,2799,535000.0,191.13969274740975,193449.96,433830.0,0.0,519500.0,13.190022025878145
58246176,"23369 ANGOSTURA BLVD, San Antonio, TX 78261",San Antonio,TX,78261,SINGLE_FAMILY,4.0,5.0,5087,1275999.0,250.83526636524476,186611.04,1153090.0,7.0,,14.059239959187506
26153811,"306 N ROLLING OAKS LN, San Antonio, TX 78253",San Antonio,TX,78253,SINGLE_FAMILY,5.0,6.0,4800,750000.0,156.25,176505.12,790000.0,59.0,,13.527828485512494
102515505,"22964 Cielo Vista Dr, San Antonio, TX 78255",San Antonio,TX,78255,SINGLE_FAMILY,5.0,5.0,4629,1650000.0,356.448476992871,147842.64,1544070.0,39.0,1645500.0,14.316285845876765
65080787,"14343 Santa Loma, Helotes, TX 78023",Helotes,TX,78023,SINGLE_FAMILY,4.0,3.0,2721,899000.0,330.3932377802279,145882.44,680000.0,110.0,876400.0,13.709038313453757
65068084,"1706 Greystone Rdg, San Antonio, TX 78258",San Antonio,TX,78258,SINGLE_FAMILY,5.0,6.0,5612,1799000.0,320.5630791161796,130680.0,1100000.0,15.0,,14.40274151293267
