zpid,address,addressCity,addressState,addressZipcode,homeType,beds,baths,area,price,pricePerSqFt,lotAreaSqFt,taxAssessedValue,daysOnZillow,zestimate,logPrice
122500420,"4610 Camden Hts, San Antonio, TX 78261",San Antonio,TX,78261,SINGLE_FAMILY,2.0,3.0,2229,535000.0,240.01794526693584,0.0,503020.0,3.0,523700.0,13.190022025878145
122498452,"1106 E QUINCY ST, San Antonio, TX 78212",San Antonio,TX,78212,TOWNHOUSE,1.0,1.0,912,355000.0,389.2543859649123,696.96,333870.0,20.0,,12.779873068457553
69640329,"4126 Copano Bay, San Antonio, TX 78229",San Antonio,TX,78229,TOWNHOUSE,3.0,3.0,1367,190000.0,138.99049012435992,1698.84,203690.0,17.0,184900.0,12.154779351142624
2070385892,"9380 Braun Rd 404D, San Antonio, TX 78254",San Antonio,TX,78254,SINGLE_FAMILY,3.0,3.0,2107,215000.0,102.04081632653062,1742.4,,7.0,218300.0,12.2783933071098
26407223,"13006 Trent St, San Antonio, TX 78232",San Antonio,TX,78232,TOWNHOUSE,2.0,2.0,1158,225000.0,194.30051813471505,2208.492,250960.0,0.0,213600.0,12.323855681186558
58248783,"8519 Echo Creek Ln, San Antonio, TX 78240",San Antonio,TX,78240,TOWNHOUSE,2.0,3.0,1450,119000.0,82.06896551724138,2221.56,181200.0,95.0,,11.686878772093667
26375454,"11608 Caprock St, San Antonio, TX 78230",San Antonio,TX,78230,SINGLE_FAMILY,3.0,2.0,1510,299000.0,198.01324503311255,2395.8,280130.0,4.0,289600.0,12.608198852372825
26383397,"2408 WILD TURKEY W, San Antonio, TX 78232",San Antonio,TX,78232,TOWNHOUSE,2.0,2.0,1228,207500.0,168.9739413680782,2439.36,203150.0,52.0,199100.0,12.24288661865289
2078161934,"1339 Lombrano, San Antonio, TX 78207",San Antonio,TX,78207,SINGLE_FAMILY,3.0,2.0,972,189000.0,194.44444444444449,2482.92,,2.0,183600.0,12.14950229404178
462057251,"6903 Stockport Drive, San Antonio, TX 78239",San Antonio,TX,78239,SINGLE_FAMILY,3.0,2.0,1029,135000.0,131.19533527696794,2526.48,,117.0,132100.0,11.813030057420567
