zpid,address,addressCity,addressState,addressZipcode,homeType,beds,baths,area,price,pricePerSqFt,lotAreaSqFt,taxAssessedValue,daysOnZillow,zestimate,logPrice
456897578,"11555 Culebra Rd #199, San Antonio, TX 78253",San Antonio,TX,78253,MANUFACTURED,3.0,2.0,1904,30000.0,15.756302521008404,,,19.0,,10.308952660644293
2097899536,"1 Towers Park Ln #205, San Antonio, TX 78209",San Antonio,TX,78209,CONDO,2.0,2.0,870,19500.0,22.41379310344828,,,74.0,17900.0,9.87816974455184
464441281,"7151 Woodlake Pkwy Lot 27, San Antonio, TX 78218",San Antonio,TX,78218,CONDO,3.0,2.0,1526,35000.0,22.93577981651376,,,14.0,,10.46310334047155
26447884,"10111 Pebblestone, San Antonio, TX 78250",San Antonio,TX,78250,SINGLE_FAMILY,4.0,3.0,1176,38000.0,32.31292517006803,4486.68,224240.0,11.0,,10.545341438708522
26223696,"1402 Alametos, San Antonio, TX 78201",San Antonio,TX,78201,SINGLE_FAMILY,4.0,2.0,1984,75000.0,37.80241935483871,12022.56,277520.0,0.0,202000.0,11.225243392518449
26336201,"3507 Fairmeadows, San Antonio, TX 78211",San Antonio,TX,78211,SINGLE_FAMILY,4.0,3.0,2421,99000.0,40.89219330855018,7535.88,284660.0,153.0,,11.502875129116727
2082629992,"1 TOWERS PARK LN #1202, San Antonio, TX 78209",San Antonio,TX,78209,CONDO,2.0,2.0,1034,45000.0,43.520309477756285,,,82.0,,10.714417768752456
461274340,"11555 Culebra Rd #79, San Antonio, TX 78253",San Antonio,TX,78253,MANUFACTURED,3.0,2.0,1368,59995.0,43.85599415204678,,,5.0,,11.002016504398489
2082893595,"3500 Goliad Rd Lot 415, San Antonio, TX 78223",San Antonio,TX,78223,MANUFACTURED,3.0,2.0,1215,55000.0,45.26748971193416,,,130.0,,10.915088464214609
26189228,"7547 LONGING TRL, San Antonio, TX 78244",San Antonio,TX,78244,SINGLE_FAMILY,4.0,3.0,2850,149900.0,52.59649122807018,8450.64,298320.0,105.0,,11.917723684090689
