zpid,address,addressCity,addressState,addressZipcode,homeType,beds,baths,area,price,pricePerSqFt,lotAreaSqFt,taxAssessedValue,daysOnZillow,zestimate,logPrice
60080772,"14 Duxbury Park, San Antonio, TX 78257",San Antonio,TX,78257,SINGLE_FAMILY,6.0,13.0,27417,8250000.0,300.9081956450377,82764.0,4650000.0,224.0,7313900.0,15.925723758310864
83890360,"18 Crescent, San Antonio, TX 78257",San Antonio,TX,78257,SINGLE_FAMILY,5.0,7.0,10106,7500000.0,742.133386107263,48656.52,5500000.0,27.0,6973200.0,15.83041357850654
26477125,"2 Admirals Way, San Antonio, TX 78257",San Antonio,TX,78257,SINGLE_FAMILY,7.0,10.0,11932,4595000.0,385.0988937311432,86684.4,4000000.0,234.0,4118700.0,15.340479313771924
83987003,"6762 MANOR HL, San Antonio, TX 78257",San Antonio,TX,78257,SINGLE_FAMILY,6.0,7.0,9056,4300000.0,474.8233215547703,88688.16,2190000.0,137.0,3877300.0,15.27412558066379
116222587,"7 Via Aragon, San Antonio, TX 78257",San Antonio,TX,78257,SINGLE_FAMILY,7.0,12.0,8842,3950000.0,446.731508708437,43560.0,,23.0,,15.189226136877304
26477108,"7 Davenport Lane, San Antonio, TX 78257",San Antonio,TX,78257,SINGLE_FAMILY,6.0,7.0,8390,3475000.0,414.1835518474374,41382.0,2650000.0,0.0,3619000.0,15.06110503698103
102518202,"1418 Greystone, San Antonio, TX 78258",San Antonio,TX,78258,SINGLE_FAMILY,6.0,9.0,7788,3299000.0,423.6004108885465,210961.08,2196000.0,176.0,,15.00912995021072
2070195872,"62 Via Aragon, San Antonio, TX 78257",San Antonio,TX,78257,SINGLE_FAMILY,6.0,6.0,6484,3249000.0,501.0795805058606,19906.92,886640.0,32.0,3114500.0,14.993857814651236
26291292,"7735 Mocking Bird Lane, San Antonio, TX 78229",San antonio,TX,78229,SINGLE_FAMILY,10.0,9.0,5500,2300000.0,418.1818181818182,337154.4,710370.0,454.0,,14.648419680899378
118209324,"4020 Luz Del Faro, San Antonio, TX 78261",San Antonio,TX,78261,SINGLE_FAMILY,4.0,5.0,5697,2195000.0,385.2905037739161,28662.48,1470000.0,0.0,2104900.0,14.601692604491408
