homeType,variable,n_valid,sample_status,q1,median,q3,iqr,lower_bound,upper_bound,iqr_outlier_count,outlier_percentage
CONDO,price,13,Sufficient Sample,135000.0,249777.0,275000.0,140000.0,-75000.0,485000.0,1.0,7.69
CONDO,area,13,Sufficient Sample,1034.0,1120.0,1209.0,175.0,771.5,1471.5,2.0,15.38
CONDO,pricePerSqFt,13,Sufficient Sample,121.73128944995491,188.2268274302939,243.1476569407604,121.4163674908055,-60.39326178625333,425.27220817696866,1.0,7.69
CONDO,beds,13,Sufficient Sample,2.0,2.0,2.0,0.0,2.0,2.0,4.0,30.77
CONDO,baths,13,Sufficient Sample,2.0,2.0,2.0,0.0,2.0,2.0,4.0,30.77
CONDO,lotAreaSqFt,0,Insufficient Sample,,,,,,,,
CONDO,taxAssessedValue,9,Insufficient Sample,,275790.0,,,,,,
CONDO,daysOnZillow,13,Sufficient Sample,0.0,4.0,41.0,41.0,-61.5,102.5,0.0,0.0
CONDO,logPrice,13,Sufficient Sample,11.813030057420567,12.428323798775647,12.524526376648708,0.7114963192281412,10.745785578578356,13.591770855490921,3.0,23.08
MANUFACTURED,price,4,Insufficient Sample,,57497.5,,,,,,
MANUFACTURED,area,4,Insufficient Sample,,1291.5,,,,,,
MANUFACTURED,pricePerSqFt,4,Insufficient Sample,,44.56174193199047,,,,,,
MANUFACTURED,beds,4,Insufficient Sample,,3.0,,,,,,
MANUFACTURED,baths,4,Insufficient Sample,,2.0,,,,,,
MANUFACTURED,lotAreaSqFt,1,Insufficient Sample,,56628.0,,,,,,
MANUFACTURED,taxAssessedValue,1,Insufficient Sample,,65620.0,,,,,,
MANUFACTURED,daysOnZillow,4,Insufficient Sample,,12.0,,,,,,
MANUFACTURED,logPrice,4,Insufficient Sample,,10.958552484306548,,,,,,
MULTI_FAMILY,price,22,Sufficient Sample,223750.0,387500.0,491500.0,267750.0,-177875.0,893125.0,0.0,0.0
MULTI_FAMILY,area,22,Sufficient Sample,1958.5,2557.0,2922.25,963.75,512.875,4367.875,2.0,9.09
MULTI_FAMILY,pricePerSqFt,22,Sufficient Sample,113.1021725440806,148.25983417553846,174.06837051502634,60.96619797094574,21.652875587661995,265.51766747144495,1.0,4.55
MULTI_FAMILY,beds,22,Sufficient Sample,4.0,6.0,6.0,2.0,1.0,9.0,2.0,9.09
MULTI_FAMILY,baths,22,Sufficient Sample,2.25,4.0,6.0,3.75,-3.375,11.625,0.0,0.0
MULTI_FAMILY,lotAreaSqFt,22,Sufficient Sample,6272.64,7237.494000000001,8755.56,2482.919999999999,2548.2600000000016,12479.939999999999,2.0,9.09
MULTI_FAMILY,taxAssessedValue,19,Sufficient Sample,203185.0,340000.0,432735.0,229550.0,-141140.0,777060.0,0.0,0.0
MULTI_FAMILY,daysOnZillow,22,Sufficient Sample,2.25,29.5,56.75,54.5,-79.5,138.5,2.0,9.09
MULTI_FAMILY,logPrice,22,Sufficient Sample,12.318193816274906,12.862766440686073,13.105215664127536,0.7870218478526301,11.13766104449596,14.28574843590648,0.0,0.0
SINGLE_FAMILY,price,761,Sufficient Sample,219990.0,314900.0,435000.0,215010.0,-102525.0,757515.0,61.0,8.02
SINGLE_FAMILY,area,761,Sufficient Sample,1548.0,2033.0,2673.0,1125.0,-139.5,4360.5,32.0,4.2
SINGLE_FAMILY,pricePerSqFt,761,Sufficient Sample,128.8659793814433,160.37735849056602,197.4333662388944,68.56738685745108,26.014899095266685,300.284446525071,32.0,4.2
SINGLE_FAMILY,beds,761,Sufficient Sample,3.0,4.0,4.0,1.0,1.5,5.5,16.0,2.1
SINGLE_FAMILY,baths,761,Sufficient Sample,2.0,3.0,3.0,1.0,0.5,4.5,37.0,4.86
SINGLE_FAMILY,lotAreaSqFt,759,Sufficient Sample,6409.853999999999,7927.92,10802.88,4393.026,-179.6850000000004,17392.418999999998,90.0,11.86
SINGLE_FAMILY,taxAssessedValue,705,Sufficient Sample,242200.0,313830.0,442000.0,199800.0,-57500.0,741700.0,39.0,5.53
SINGLE_FAMILY,daysOnZillow,759,Sufficient Sample,4.0,23.0,74.0,70.0,-101.0,179.0,34.0,4.48
SINGLE_FAMILY,logPrice,761,Sufficient Sample,12.301337369755954,12.660010407089116,12.983101310070822,0.6817639403148679,11.278691459283653,14.005747220543125,30.0,3.94
TOWNHOUSE,price,10,Sufficient Sample,194375.0,232000.0,342975.0,148600.0,-28525.0,565875.0,0.0,0.0
TOWNHOUSE,area,10,Sufficient Sample,1175.5,1381.5,1514.5,339.0,667.0,2023.0,0.0,0.0
TOWNHOUSE,pricePerSqFt,10,Sufficient Sample,143.46832771596934,170.08868988174683,221.91497328367873,78.4466455677094,25.798359364405243,339.58494163524284,1.0,10.0
TOWNHOUSE,beds,10,Sufficient Sample,2.0,2.0,3.0,1.0,0.5,4.5,0.0,0.0
TOWNHOUSE,baths,10,Sufficient Sample,2.0,2.5,3.0,1.0,0.5,4.5,0.0,0.0
TOWNHOUSE,lotAreaSqFt,10,Sufficient Sample,2211.759,2519.6800000000003,4127.31,1915.5510000000004,-661.5675000000006,7000.6365000000005,1.0,10.0
TOWNHOUSE,taxAssessedValue,8,Insufficient Sample,,215592.5,,,,,,
TOWNHOUSE,daysOnZillow,10,Sufficient Sample,11.0,36.0,84.5,73.5,-99.25,194.75,1.0,10.0
TOWNHOUSE,logPrice,10,Sufficient Sample,12.17680616802019,12.354037256050102,12.743474111495122,0.5666679434749309,11.326804252807793,13.593476026707517,1.0,10.0
