homeType,variable,n,mean,median,min,max,std
CONDO,price,13,232775.07692307694,249777.0,19500.0,599000.0,167659.76113718198
CONDO,area,13,1174.923076923077,1120.0,870.0,1761.0,241.66797523960483
CONDO,pricePerSqFt,13,199.64774456373723,188.2268274302939,22.41379310344828,548.0329368709972,148.5525735898643
CONDO,taxAssessedValue,9,328205.55555555556,275790.0,140000.0,697490.0,168311.39994895706
MANUFACTURED,price,4,95998.75,57497.5,30000.0,239000.0,96232.98121183125
MANUFACTURED,area,4,1406.75,1291.5,1140.0,1904.0,344.81045517791364
MANUFACTURED,pricePerSqFt,4,78.63222729800172,44.56174193199047,15.756302521008404,209.64912280701756,88.39570300904802
MANUFACTURED,lotAreaSqFt,1,56628.0,56628.0,56628.0,56628.0,
MANUFACTURED,taxAssessedValue,1,65620.0,65620.0,65620.0,65620.0,
MULTI_FAMILY,price,22,374720.45454545453,387500.0,120000.0,649900.0,154349.44788268054
MULTI_FAMILY,area,22,2527.181818181818,2557.0,1280.0,4491.0,865.5982591943831
MULTI_FAMILY,pricePerSqFt,22,150.9238396908575,148.25983417553846,71.68458781362007,324.773413897281,54.288756101161596
MULTI_FAMILY,lotAreaSqFt,22,7773.678,7237.494000000001,3963.96,16247.88,3163.543715539449
MULTI_FAMILY,taxAssessedValue,19,338315.7894736842,340000.0,140000.0,625000.0,134780.1542560571
SINGLE_FAMILY,price,761,426537.9132720105,314900.0,38000.0,8250000.0,561068.3933416139
SINGLE_FAMILY,area,761,2277.779237844941,2033.0,696.0,27417.0,1447.5618461980696
SINGLE_FAMILY,pricePerSqFt,761,170.45937311370733,160.37735849056602,32.31292517006803,742.133386107263,67.83164500215189
SINGLE_FAMILY,lotAreaSqFt,759,14058.790271409749,7927.92,0.0,531867.6000000001,30855.558877704058
SINGLE_FAMILY,taxAssessedValue,705,392576.8553191489,313830.0,37890.0,5500000.0,373221.10022250895
TOWNHOUSE,price,10,245740.0,232000.0,60000.0,400000.0,109046.05754756412
TOWNHOUSE,area,10,1348.3,1381.5,800.0,1956.0,344.67377491058284
TOWNHOUSE,pricePerSqFt,10,184.59086097574246,170.08868988174683,75.0,389.2543859649123,89.93774294953364
TOWNHOUSE,lotAreaSqFt,10,3739.1371999999997,2519.6800000000003,696.96,12196.8,3297.1004492672646
TOWNHOUSE,taxAssessedValue,8,232639.375,215592.5,181200.0,333870.0,49061.891265559374
