zpid,address,addressCity,addressState,addressZipcode,homeType,beds,baths,area,price,pricePerSqFt,lotAreaSqFt,taxAssessedValue,daysOnZillow,zestimate,logPrice
102525422,"614 Villa Linda, San Antonio, TX 78237",San Antonio,TX,78237,SINGLE_FAMILY,2.0,3.0,1101,165000.0,149.86376021798364,5837.04,37890.0,94.0,164400.0,12.013700752882718
26249848,"1243 W HARLAN AVE, San Antonio, TX 78211",San Antonio,TX,78211,SINGLE_FAMILY,4.0,3.0,1641,310000.0,188.90920170627663,6011.28,60370.0,76.0,304500.0,12.644327576461327
83990389,"4426 SOUTHERN TRL, Von Ormy, TX 78073",Von Ormy,TX,78073,MANUFACTURED,3.0,2.0,1140,239000.0,209.64912280701756,56628.0,65620.0,0.0,,12.384218830913648
26195821,"8138 old pearsall, San Antonio, TX 78252",San Antonio,TX,78252,SINGLE_FAMILY,4.0,3.0,2262,360000.0,159.15119363395226,21780.0,75750.0,374.0,,12.793859310432293
26247346,"443 N SAN IGNACIO AVE, San Antonio, TX 78228",San Antonio,TX,78228,SINGLE_FAMILY,3.0,1.0,840,69900.0,83.21428571428571,5749.92,83020.0,0.0,,11.154820928221902
26219379,"222 Bogle St, San Antonio, TX 78207",San Antonio,TX,78207,SINGLE_FAMILY,2.0,1.0,828,125000.0,150.96618357487924,5850.108,86060.0,7.0,,11.736069016284436
80031932,"3534 ARAGON DR, San Antonio, TX 78211",San Antonio,TX,78211,SINGLE_FAMILY,3.0,1.0,1060,149900.0,141.41509433962264,5009.4,90970.0,0.0,,11.917723684090689
26237862,"510 SUTTON DR, San Antonio, TX 78228",San Antonio,TX,78228,SINGLE_FAMILY,3.0,3.0,1496,175000.0,116.97860962566844,11804.76,95000.0,31.0,,12.072541252905651
26287270,"2319 Valencia, San Antonio, TX 78237",San Antonio,TX,78237,SINGLE_FAMILY,2.0,1.0,880,105000.0,119.3181818181818,6534.0,96150.0,5.0,,11.56171562913966
26259576,"771 LINDA LOU DR, San Antonio, TX 78223",San Antonio,TX,78223,SINGLE_FAMILY,3.0,1.0,1132,129900.0,114.75265017667844,7492.32,110470.0,0.0,117300.0,11.77452020265869
