variable,n,mean,median,std,mean_ci_95_lower,mean_ci_95_upper
price,810,418156.3864197531,309950.0,546336.0897524211,380475.96946660214,455836.803372904
logPrice,810,12.675379231092446,12.644166260118585,0.6539099149330097,12.630279522860393,12.720478939324499
area,810,2251.0765432098765,1999.5,1423.2176732432024,2152.918218418997,2349.234868000756
beds,810,3.6382716049382715,3.0,1.0232244896894638,3.5677005294934,3.708842680383143
baths,810,2.7648148148148146,3.0,1.2028228141141772,2.6818569688904805,2.8477726607391487
lotAreaSqFt,792,13807.654171717171,7884.36,30288.746590132025,11694.983333156577,15920.325010277766
taxAssessedValue,742,388241.6010781671,312045.0,365562.55008626566,361895.4133527041,414587.7888036301
daysOnZillow,808,51.3279702970297,23.0,79.88960853118218,45.811204533866004,56.8447360601934
pricePerSqFt,810,170.11842274319778,160.38001295378047,70.09513894291266,165.28401016951096,174.9528353168846
zestimate,576,431383.3333333333,315800.0,540638.1959193746,387138.8949830738,475627.7716835928
